COMP_IDstr,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY
M01516,sarcosine (N-Methylglycine),Amino Acid,"Glycine, Serine and Threonine Metabolism"
M32398,sebacate (decanedioate),Lipid,"Fatty Acid, Dicarboxylate"
M01648,serine,Amino Acid,"Glycine, Serine and Threonine Metabolism"
M02342,serotonin,Amino Acid,Tryptophan Metabolism
M52954,sitagliptin,Xenobiotics,Drug
M39788,solanidine,Xenobiotics,Food Component/Plant
M00485,spermidine,Amino Acid,Polyamine Metabolism
M17769,sphinganine,Lipid,Sphingolipid Metabolism
M52605,sphinganine-1-phosphate,Lipid,Sphingolipid Metabolism
M42463,"sphingomyelin (d18:1/14:0, d16:1/16:0)*",Lipid,Sphingolipid Metabolism
M52433,"sphingomyelin (d18:1/15:0, d16:1/17:0)*",Lipid,Sphingolipid Metabolism
M52615,"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",Lipid,Sphingolipid Metabolism
M37529,"sphingomyelin (d18:1/18:1, d18:2/18:0)",Lipid,Sphingolipid Metabolism
M48490,"sphingomyelin (d18:1/20:0, d16:1/22:0)*",Lipid,Sphingolipid Metabolism
M48491,"sphingomyelin (d18:1/20:1, d18:2/20:0)*",Lipid,Sphingolipid Metabolism
M52495,"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",Lipid,Sphingolipid Metabolism
M48493,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Lipid,Sphingolipid Metabolism
M47153,"sphingomyelin (d18:1/24:1, d18:2/24:0)*",Lipid,Sphingolipid Metabolism
M47154,"sphingomyelin (d18:2/14:0, d18:1/14:1)*",Lipid,Sphingolipid Metabolism
M42459,"sphingomyelin (d18:2/16:0, d18:1/16:1)*",Lipid,Sphingolipid Metabolism
M52435,"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",Lipid,Sphingolipid Metabolism
M52437,"sphingomyelin (d18:2/24:1, d18:1/24:2)*",Lipid,Sphingolipid Metabolism
M17747,sphingosine,Lipid,Sphingolipid Metabolism
M34445,sphingosine 1-phosphate,Lipid,Sphingolipid Metabolism
M34384,stachydrine,Xenobiotics,Food Component/Plant
M01358,stearate (18:0),Lipid,Long Chain Fatty Acid
M33969,stearidonate (18:4n3),Lipid,Polyunsaturated Fatty Acid (n3 and n6)
M19503,stearoyl sphingomyelin (d18:1/18:0),Lipid,Sphingolipid Metabolism
M34409,stearoylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M15730,suberate (octanedioate),Lipid,"Fatty Acid, Dicarboxylate"
M52990,suberoylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine)
M01437,succinate,Energy,TCA Cycle
M41888,succinimide,Xenobiotics,Chemical
M37058,succinylcarnitine,Energy,TCA Cycle
M01519,sucrose,Carbohydrate,Disaccharides and Oligosaccharides
M46960,sulfate*,Xenobiotics,Chemical
M15336,tartarate,Xenobiotics,Food Component/Plant
M20693,tartronate (hydroxymalonate),Xenobiotics,Bacterial/Fungal
M02125,taurine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
M33983,tauro-beta-muricholate,Lipid,Primary Bile Acid Metabolism
M18494,taurochenodeoxycholate,Lipid,Primary Bile Acid Metabolism
M18497,taurocholate,Lipid,Primary Bile Acid Metabolism
M32807,taurocholenate sulfate,Lipid,Secondary Bile Acid Metabolism
M12261,taurodeoxycholate,Lipid,Secondary Bile Acid Metabolism
M36850,taurolithocholate 3-sulfate,Lipid,Secondary Bile Acid Metabolism
M35669,tetradecanedioate,Lipid,"Fatty Acid, Dicarboxylate"
M22206,theanine,Xenobiotics,Food Component/Plant
M18392,theobromine,Xenobiotics,Xanthine Metabolism
M18394,theophylline,Xenobiotics,Xanthine Metabolism
M53231,thioproline,Amino Acid,Tryptophan Metabolism
M27738,threonate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism
M01284,threonine,Amino Acid,"Glycine, Serine and Threonine Metabolism"
M36095,thymol sulfate,Xenobiotics,Food Component/Plant
M02761,thyroxine,Amino Acid,Phenylalanine and Tyrosine Metabolism
M37032,ticlopidine,Xenobiotics,Drug
M01598,tigloylglycine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M35428,tiglylcarnitine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
M32306,trans-4-hydroxyproline,Amino Acid,Urea cycle; Arginine and Proline Metabolism
M00607,trans-urocanate,Amino Acid,Histidine Metabolism
